Rank,Song,Artist,Last_Week,Peak_Position,Weeks_on_Chart,Date
50,You Don't Own Me,Grace Featuring G-Eazy,33,31,3,2024-03-02
1,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,5,1,2,2024-03-09
2,What You Won't Do For Love,Bobby Caldwell,2,1,3,2024-03-09
3,End Of Beginning,Djo,1,1,3,2024-03-09
4,Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",7,4,4,2024-03-09
5,Dance You Outta My Head,Cat Janice,6,1,5,2024-03-09
6,Rose's Turn,Glee Cast,3,3,2,2024-03-09
7,Beautiful Things,Benson Boone,18,6,5,2024-03-09
8,Redrum,21 Savage,19,8,4,2024-03-09
9,Praise Jah In The Moonlight,YG Marley,9,9,5,2024-03-09
10,Get In With Me,BossMan Dlow,11,6,5,2024-03-09
11,One Call,Rich Amiri,10,2,6,2024-03-09
12,Never Lose Me,Flo Milli,14,1,13,2024-03-09
13,Merry Go Round of Life (Old Piano),Xakei,NEW,13,1,2024-03-09
14,My Love Mine All Mine,Mitski,16,1,24,2024-03-09
15,I Wouldn't Mind,He Is We,12,2,8,2024-03-09
16,No Fear,DeJ Loaf,NEW,16,1,2024-03-09
17,Soaked,Shy Smith,17,17,3,2024-03-09
18,Little Life,Cordelia,15,2,11,2024-03-09
19,Cleared - Remix,Lilithzplug,20,15,7,2024-03-09
20,Yeah!,Usher Featuring Lil Jon & Ludacris,13,3,4,2024-03-09
21,Oi (Beat Da Koto Nai),Certified Trapper,27,21,5,2024-03-09
22,L'amore Dice Ciao (Slow Take) (Remastered),Armando Trovajoli,8,8,2,2024-03-09
23,Tumblr Girls,G-Eazy Featuring Christoph Andersson,24,19,20,2024-03-09
24,Lovin On Me,Jack Harlow,23,4,17,2024-03-09
25,Act II: Date @ 8,4batz Featuring Drake,28,25,7,2024-03-09
26,Unwritten,Natasha Bedingfield,22,16,5,2024-03-09
27,Stupid In Love,MAX Featuring HUH YUNJIN,NEW,27,1,2024-03-09
28,I Don't Wanna Be Saved,Sexyy Red & Tay Keith,26,14,4,2024-03-09
29,Move Yo Body (Sped Up),Bryansanon,39,29,2,2024-03-09
30,Out Of My League,Fitz And The Tantrums,NEW,30,1,2024-03-09
31,Get Ready (Steve Aoki Vocal Radio Edit),2 Unlimited,NEW,31,1,2024-03-09
32,Little Things,Adrian Berenguer,46,27,5,2024-03-09
33,Yasashi,CXSPER,NEW,33,1,2024-03-09
34,All That Glitters,King Lowe,NEW,34,1,2024-03-09
35,You Don't Own Me,Grace Featuring G-Eazy,50,31,4,2024-03-09
36,Come Check This (Quickie Edit),FETISH,33,29,3,2024-03-09
37,Merrily We Fall (Jersey Remix),RaeSam,30,26,4,2024-03-09
38,Jealous,Eyedress,NEW,38,1,2024-03-09
39,QKThr,Aphex Twin,37,13,5,2024-03-09
40,Nothing's New,Rio Romeo,31,17,14,2024-03-09
41,Evergreen,Richy Mitch And The Coal Miners,NEW,41,1,2024-03-09
42,Never Be Like You,Flume Featuring Kai,29,28,6,2024-03-09
43,Bad Bitty,Jody P,NEW,43,1,2024-03-09
44,Stargazing (Slowed + Reverb),Marcelo De Carvalho,RE-ENTRY,21,4,2024-03-09
45,Balada Boa X Pika2 Kawenimeri,DJ USUP,NEW,45,1,2024-03-09
46,Confidence (Sped Up),Ocean Alley,RE-ENTRY,21,7,2024-03-09
47,La Suma,Javier Rosas y Su Artilleria Pesada & Lupe Borbon y Su Blindaje 7,38,23,4,2024-03-09
48,Another Love,Tom Odell,RE-ENTRY,42,2,2024-03-09
49,Psycho,Jack Kittel,34,34,2,2024-03-09
50,Where The Wild Things Are,Luke Combs,NEW,50,1,2024-03-09
1,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,1,1,3,2024-03-16
2,What You Won't Do For Love,Bobby Caldwell,2,1,4,2024-03-16
3,End Of Beginning,Djo,3,1,4,2024-03-16
4,Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",4,4,5,2024-03-16
5,Dance You Outta My Head,Cat Janice,5,1,6,2024-03-16
6,"Money! (Money Money, Green Green)",Kaytoven,NEW,6,1,2024-03-16
7,Can I Come With You,AP$ENT,NEW,7,1,2024-03-16
8,Whatever She Wants,Bryson Tiller,NEW,8,1,2024-03-16
9,No Fear,DeJ Loaf,16,9,2,2024-03-16
10,Like What (Freestyle),Cardi B,NEW,10,1,2024-03-16
11,Beautiful Things,Benson Boone,7,6,6,2024-03-16
12,She Know What She Wanted (Jersey Club Remix Slowed),Godard Featuring Ziahfyah,NEW,12,1,2024-03-16
13,Praise Jah In The Moonlight,YG Marley,9,9,6,2024-03-16
14,Tumblr Girls,G-Eazy Featuring Christoph Andersson,23,14,21,2024-03-16
15,Austin,Dasha,NEW,15,1,2024-03-16
16,Rose's Turn,Glee Cast,6,3,3,2024-03-16
17,Never Lose Me,Flo Milli,12,1,14,2024-03-16
18,Get In With Me,BossMan Dlow,10,6,6,2024-03-16
19,Redrum,21 Savage,8,8,5,2024-03-16
20,My Love Mine All Mine,Mitski,14,1,25,2024-03-16
21,Oi (Beat Da Koto Nai),Certified Trapper,21,21,6,2024-03-16
22,Merry Go Round of Life (Old Piano),Xakei,13,13,2,2024-03-16
23,I Wouldn't Mind,He Is We,15,2,9,2024-03-16
24,Little Life,Cordelia,18,2,12,2024-03-16
25,Soaked,Shy Smith,17,17,4,2024-03-16
26,Cleared - Remix,Lilithzplug,19,15,8,2024-03-16
27,Seppuku,Rob Apollo Featuring Baldie Balboa,NEW,27,1,2024-03-16
28,One Call,Rich Amiri,11,2,7,2024-03-16
29,Act II: Date @ 8,4batz Featuring Drake,25,25,8,2024-03-16
30,Yeah!,Usher Featuring Lil Jon & Ludacris,20,3,5,2024-03-16
31,Bad Bitty,Jody P,43,31,2,2024-03-16
32,Evergreen,Richy Mitch And The Coal Miners,41,32,2,2024-03-16
33,Yasashi,CXSPER,33,33,2,2024-03-16
34,Move Yo Body (Sped Up),Bryansanon,29,29,3,2024-03-16
35,Lovin On Me,Jack Harlow,24,4,18,2024-03-16
36,Intergalactic Janet,Ley Soul,NEW,36,1,2024-03-16
37,Come Check This (Quickie Edit),FETISH,36,29,4,2024-03-16
38,L'amore Dice Ciao (Slow Take) (Remastered),Armando Trovajoli,22,8,3,2024-03-16
39,Texas Hold 'Em,Beyonce,RE-ENTRY,4,3,2024-03-16
40,Scared To Start,Michael Marcagi,RE-ENTRY,32,2,2024-03-16
41,Piss Me Off,BossMan Dlow,NEW,41,1,2024-03-16
42,Show Me How,Men I Trust,NEW,42,1,2024-03-16
43,Gata Only,FloyyMenor X Cris Mj,NEW,43,1,2024-03-16
44,Relaxed,MC Mablo Dos Paredoes,RE-ENTRY,44,3,2024-03-16
45,Glimpse of Your Reflection,Nadya,NEW,45,1,2024-03-16
46,Where The Wild Things Are,Luke Combs,50,46,2,2024-03-16
47,Unwritten,Natasha Bedingfield,26,16,6,2024-03-16
48,Little Things,Adrian Berenguer,32,27,6,2024-03-16
49,Another Love,Tom Odell,48,42,3,2024-03-16
50,Eat Her Up,414bigfrank,NEW,50,1,2024-03-16
1,End Of Beginning,Djo,3,1,5,2024-03-23
2,Beautiful Things,Benson Boone,11,2,7,2024-03-23
3,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,1,1,4,2024-03-23
4,Texas Hold 'Em,Beyonce,39,4,4,2024-03-23
5,What You Won't Do For Love,Bobby Caldwell,2,1,5,2024-03-23
6,Austin,Dasha,15,6,2,2024-03-23
7,"Money! (Money Money, Green Green)",Kaytoven,6,6,2,2024-03-23
8,Lovin On Me,Jack Harlow,35,4,19,2024-03-23
9,Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",4,4,6,2024-03-23
10,Dance You Outta My Head,Cat Janice,5,1,7,2024-03-23
11,She Know What She Wanted (Jersey Club Remix Slowed),Godard Featuring Ziahfyah,12,11,2,2024-03-23
12,Scared To Start,Michael Marcagi,40,12,3,2024-03-23
13,Like What (Freestyle),Cardi B,10,10,2,2024-03-23
14,Bandit,Don Toliver,NEW,14,1,2024-03-23
15,Tumblr Girls,G-Eazy Featuring Christoph Andersson,14,14,22,2024-03-23
16,Baddie Friend (Two Bad Bitches),Kevo Jefe Featuring House Of Evo,NEW,16,1,2024-03-23
17,Whatever She Wants,Bryson Tiller,8,8,2,2024-03-23
18,Make You Mine,Madison Beer,NEW,18,1,2024-03-23
19,Someday I'll Get It,Alek Olsen,NEW,19,1,2024-03-23
20,Get In With Me,BossMan Dlow,18,6,7,2024-03-23
21,Never Lose Me,Flo Milli,17,1,15,2024-03-23
22,Praise Jah In The Moonlight,YG Marley,13,9,7,2024-03-23
23,My Love Mine All Mine,Mitski,20,1,26,2024-03-23
24,No Fear,DeJ Loaf,9,9,3,2024-03-23
25,Sad Hamster Violin Meme,Silly Puszek,NEW,25,1,2024-03-23
26,Can I Come With You,AP$ENT,7,7,2,2024-03-23
27,Bad Bitty,Jody P,31,27,3,2024-03-23
28,Irish Jig,Irish Pub Society,NEW,28,1,2024-03-23
29,Redrum,21 Savage,19,8,6,2024-03-23
30,Back On 74,Jungle,NEW,30,1,2024-03-23
31,Seppuku,Rob Apollo Featuring Baldie Balboa,27,27,2,2024-03-23
32,Oi (Beat Da Koto Nai),Certified Trapper,21,21,7,2024-03-23
33,Show Me How,Men I Trust,42,33,2,2024-03-23
34,Little Life,Cordelia,24,2,13,2024-03-23
35,Act II: Date @ 8,4batz Featuring Drake,29,25,9,2024-03-23
36,I Wouldn't Mind,He Is We,23,2,10,2024-03-23
37,Yasashi,CXSPER,33,33,3,2024-03-23
38,Soaked,Shy Smith,25,17,5,2024-03-23
39,Move Yo Body (Sped Up),Bryansanon,34,29,4,2024-03-23
40,Cleared - Remix,Lilithzplug,26,15,9,2024-03-23
41,Jealous,Eyedress,RE-ENTRY,38,2,2024-03-23
42,Rose's Turn,Glee Cast,16,3,4,2024-03-23
43,Gata Only,FloyyMenor X Cris Mj,43,43,2,2024-03-23
44,Get It Sexyy,Sexyy Red,NEW,44,1,2024-03-23
45,Enough (Miami),Cardi B,NEW,45,1,2024-03-23
46,One Call,Rich Amiri,28,2,8,2024-03-23
47,I Wanna Be Yours,Arctic Monkeys,NEW,47,1,2024-03-23
48,EDGE,REZZ,NEW,48,1,2024-03-23
49,Mr. Weatherall,Young Hub City Featuring Big Zoe,NEW,49,1,2024-03-23
50,Another Love,Tom Odell,49,42,4,2024-03-23
1,Someday I'll Get It,Alek Olsen,19,1,2,2024-03-30
2,End Of Beginning,Djo,1,1,6,2024-03-30
3,Texas Hold 'Em,Beyonce,4,3,5,2024-03-30
4,Austin,Dasha,6,4,3,2024-03-30
5,Beautiful Things,Benson Boone,2,2,8,2024-03-30
6,Lovin On Me,Jack Harlow,8,4,20,2024-03-30
7,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,3,1,5,2024-03-30
8,Lady Killers II (Christoph Andersson Remix),G-Eazy,NEW,8,1,2024-03-30
9,Praise Jah In The Moonlight,YG Marley,22,9,8,2024-03-30
10,Make You Mine,Madison Beer,18,10,2,2024-03-30
11,What You Won't Do For Love,Bobby Caldwell,5,1,6,2024-03-30
12,Get It Sexyy,Sexyy Red,44,12,2,2024-03-30
13,Dance You Outta My Head,Cat Janice,10,1,8,2024-03-30
14,Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",9,4,7,2024-03-30
15,Enough (Miami),Cardi B,45,15,2,2024-03-30
16,Gata Only,FloyyMenor X Cris Mj,43,16,3,2024-03-30
17,Tshwala Bam,TitoM & Yuppe Featuring S.N.E & EeQue,NEW,17,1,2024-03-30
18,"Money! (Money Money, Green Green)",Kaytoven,7,6,3,2024-03-30
19,Anything,Adrianne Lenker,RE-ENTRY,19,2,2024-03-30
20,Baddie Friend (Two Bad Bitches),Kevo Jefe Featuring House Of Evo,16,16,2,2024-03-30
21,She Know What She Wanted (Jersey Club Remix Slowed),Godard Featuring Ziahfyah,11,11,3,2024-03-30
22,Tumblr Girls,G-Eazy Featuring Christoph Andersson,15,14,23,2024-03-30
23,Whatever She Wants,Bryson Tiller,17,8,3,2024-03-30
24,Like What (Freestyle),Cardi B,13,10,3,2024-03-30
25,Never Lose Me,Flo Milli,21,1,16,2024-03-30
26,Bandit,Don Toliver,14,14,2,2024-03-30
27,Show Me How,Men I Trust,33,27,3,2024-03-30
28,Scared To Start,Michael Marcagi,12,12,4,2024-03-30
29,My Love Mine All Mine,Mitski,23,1,27,2024-03-30
30,You Are My Sunshine,Christina Perri,NEW,30,1,2024-03-30
31,SC-9,Yahir Saldivar,NEW,31,1,2024-03-30
32,Bad Bitty,Jody P,27,27,4,2024-03-30
33,Too Sweet,Hozier,NEW,33,1,2024-03-30
34,Back On 74,Jungle,30,30,2,2024-03-30
35,Get In With Me,BossMan Dlow,20,6,8,2024-03-30
36,Oi (Beat Da Koto Nai),Certified Trapper,32,21,8,2024-03-30
37,Karma,JoJo Siwa,NEW,37,1,2024-03-30
38,Little Life,Cordelia,34,2,14,2024-03-30
39,Flores Amarillas,Floricienta,NEW,39,1,2024-03-30
40,The West Side Freestyle,DJ Max Star,NEW,40,1,2024-03-30
41,Mr. Weatherall,Young Hub City Featuring Big Zoe,49,41,2,2024-03-30
42,Yasashi,CXSPER,37,33,4,2024-03-30
43,No Fear,DeJ Loaf,24,9,4,2024-03-30
44,Act II: Date @ 8,4batz Featuring Drake,35,25,10,2024-03-30
45,Lullaby for Erik,Evgeny Grinko,NEW,45,1,2024-03-30
46,Go To Work,Chris Mula,NEW,46,1,2024-03-30
47,Mrs Magic,Strawberry Guy,NEW,47,1,2024-03-30
48,Move Yo Body (Sped Up),Bryansanon,39,29,5,2024-03-30
49,Relaxed,MC Mablo Dos Paredoes,RE-ENTRY,44,4,2024-03-30
50,Soaked,Shy Smith,38,17,6,2024-03-30
1,Someday I'll Get It,Alek Olsen,1,1,3,2024-04-06
2,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,7,1,6,2024-04-06
3,Lady Killers II (Christoph Andersson Remix),G-Eazy,8,3,2,2024-04-06
4,End Of Beginning,Djo,2,1,7,2024-04-06
5,Get It Sexyy,Sexyy Red,12,5,3,2024-04-06
6,Austin,Dasha,4,4,4,2024-04-06
7,Praise Jah In The Moonlight,YG Marley,9,7,9,2024-04-06
8,Anything,Adrianne Lenker,19,8,3,2024-04-06
9,Gata Only,FloyyMenor X Cris Mj,16,9,4,2024-04-06
10,Beautiful Things,Benson Boone,5,2,9,2024-04-06
11,Texas Hold 'Em,Beyonce,3,3,6,2024-04-06
12,What You Won't Do For Love,Bobby Caldwell,11,1,7,2024-04-06
13,Dance You Outta My Head,Cat Janice,13,1,9,2024-04-06
14,Blue Monday ( Extended Mix),Above & Beyond,NEW,14,1,2024-04-06
15,Back On 74,Jungle,34,15,3,2024-04-06
16,Enough (Miami),Cardi B,15,15,3,2024-04-06
17,You Are My Sunshine,Christina Perri,30,17,2,2024-04-06
18,Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",14,4,8,2024-04-06
19,I Like The Way You Kiss Me,Artemas,NEW,19,1,2024-04-06
20,Harness Your Hopes (B-Side),Pavement,NEW,20,1,2024-04-06
21,Secrets,YTB Fatt,RE-ENTRY,21,2,2024-04-06
22,Never Lose Me,Flo Milli,25,1,17,2024-04-06
23,Tshwala Bam,TitoM & Yuppe Featuring S.N.E & EeQue,17,17,2,2024-04-06
24,Baddie Friend (Two Bad Bitches),Kevo Jefe Featuring House Of Evo,20,16,3,2024-04-06
25,Bop Anthem (Jersey Club),ProdByOsakaa,NEW,25,1,2024-04-06
26,Mrs Magic,Strawberry Guy,47,26,2,2024-04-06
27,Stick Em 2k20,RoddOnnaBeat,NEW,27,1,2024-04-06
28,See You Again,"Tyler, The Creator Featuring Kali Uchis",NEW,28,1,2024-04-06
29,Make You Mine,Madison Beer,10,10,3,2024-04-06
30,Come Through,Rui & Voluptuous,NEW,30,1,2024-04-06
31,Too Sweet,Hozier,33,31,2,2024-04-06
32,My Love Mine All Mine,Mitski,29,1,28,2024-04-06
33,She Know What She Wanted (Jersey Club Remix Slowed),Godard Featuring Ziahfyah,21,11,4,2024-04-06
34,Tumblr Girls,G-Eazy Featuring Christoph Andersson,22,14,24,2024-04-06
35,Oi (Beat Da Koto Nai),Certified Trapper,36,21,9,2024-04-06
36,Bad Bitty,Jody P,32,27,5,2024-04-06
37,Nothin' To It,On The Hunt & Chandler,NEW,37,1,2024-04-06
38,"Tchaikovsky: Suite From ""The Nutcracker"" Ballet Op. 71a...",Orchestra Of Classical Music,NEW,38,1,2024-04-06
39,Von Dutch (Remix),Charli XCX With Addison Rae & A.G. Cook,NEW,39,1,2024-04-06
40,Karma,JoJo Siwa,37,37,2,2024-04-06
41,Mr. Weatherall,Young Hub City Featuring Big Zoe,41,41,3,2024-04-06
42,SC-9,Yahir Saldivar,31,31,2,2024-04-06
43,Hey Daddy (Daddy's Home),Usher Featuring Plies,RE-ENTRY,10,7,2024-04-06
44,Lullaby for Erik,Evgeny Grinko,45,44,2,2024-04-06
45,Act II: Date @ 8,4batz Featuring Drake,44,25,11,2024-04-06
46,Like What (Freestyle),Cardi B,24,10,4,2024-04-06
47,"Money! (Money Money, Green Green)",Kaytoven,18,6,4,2024-04-06
48,Tek It,Cafune,NEW,48,1,2024-04-06
49,Leaving The Lot,King Hendrick$,NEW,49,1,2024-04-06
50,Get In With Me,BossMan Dlow,35,6,9,2024-04-06
1,Someday I'll Get It,Alek Olsen,1,1,4,2024-04-13
2,Lady Killers II (Christoph Andersson Remix),G-Eazy,3,2,3,2024-04-13
3,Too Sweet,Hozier,31,3,3,2024-04-13
4,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,2,1,7,2024-04-13
5,Get It Sexyy,Sexyy Red,5,5,4,2024-04-13
6,Hell N Back,Bakar Featuring Summer Walker,RE-ENTRY,6,3,2024-04-13
7,I Like The Way You Kiss Me,Artemas,19,7,2,2024-04-13
8,End Of Beginning,Djo,4,1,8,2024-04-13
9,Talk My Shit,BossMan Dlow,NEW,9,1,2024-04-13
10,Gata Only,FloyyMenor X Cris Mj,9,9,5,2024-04-13
11,Karma,JoJo Siwa,40,11,3,2024-04-13
12,Blue Monday ( Extended Mix),Above & Beyond,14,12,2,2024-04-13
13,Harness Your Hopes (B-Side),Pavement,20,13,2,2024-04-13
14,Praise Jah In The Moonlight,YG Marley,7,7,10,2024-04-13
15,Austin,Dasha,6,4,5,2024-04-13
16,Beautiful Things,Benson Boone,10,2,10,2024-04-13
17,What You Won't Do For Love,Bobby Caldwell,12,1,8,2024-04-13
18,Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",18,4,9,2024-04-13
19,Dance You Outta My Head,Cat Janice,13,1,10,2024-04-13
20,Make You Mine,Madison Beer,29,10,4,2024-04-13
21,Texas Hold 'Em,Beyonce,11,3,7,2024-04-13
22,Nothin' To It,On The Hunt & Chandler,37,22,2,2024-04-13
23,Back On 74,Jungle,15,15,4,2024-04-13
24,Tek It,Cafune,48,24,2,2024-04-13
25,Enough (Miami),Cardi B,16,15,4,2024-04-13
26,Baddie Friend (Two Bad Bitches),Kevo Jefe Featuring House Of Evo,24,16,4,2024-04-13
27,Mr. Weatherall,Young Hub City Featuring Big Zoe,41,27,4,2024-04-13
28,Never Lose Me,Flo Milli,22,1,18,2024-04-13
29,Phonk Brasileiro Fresco,DJ MOIGUS & DJ FKU,NEW,29,1,2024-04-13
30,Stick Em 2k20,RoddOnnaBeat,27,27,2,2024-04-13
31,Anything,Adrianne Lenker,8,8,4,2024-04-13
32,This Woman's Work (Remastered 2021),Maxwell,NEW,32,1,2024-04-13
33,Oi (Beat Da Koto Nai),Certified Trapper,35,21,10,2024-04-13
34,SC-9,Yahir Saldivar,42,31,3,2024-04-13
35,Bad Bitty,Jody P,36,27,6,2024-04-13
36,My Love Mine All Mine,Mitski,32,1,29,2024-04-13
37,Tumblr Girls,G-Eazy Featuring Christoph Andersson,34,14,25,2024-04-13
38,Gods creation,Daniel.mp3,RE-ENTRY,37,2,2024-04-13
39,Fantasmas,HUMBE,NEW,39,1,2024-04-13
40,See You Again,"Tyler, The Creator Featuring Kali Uchis",28,28,2,2024-04-13
41,MP3PSYCHOSIS,Jxxl3s Featuring taconiel,NEW,41,1,2024-04-13
42,Bop Anthem (Jersey Club),ProdByOsakaa,25,25,2,2024-04-13
43,Hide Away,Daya,NEW,43,1,2024-04-13
44,Tshwala Bam,TitoM & Yuppe Featuring S.N.E & EeQue,23,17,3,2024-04-13
45,Mrs Magic,Strawberry Guy,26,26,3,2024-04-13
46,Leaving The Lot,King Hendrick$,49,46,2,2024-04-13
47,Act II: Date @ 8,4batz Featuring Drake,45,25,12,2024-04-13
48,You Are My Sunshine,Christina Perri,17,17,3,2024-04-13
49,She Know What She Wanted (Jersey Club Remix Slowed),Godard Featuring Ziahfyah,33,11,5,2024-04-13
50,Like What (Freestyle),Cardi B,46,10,5,2024-04-13
1,Someday I'll Get It,Alek Olsen,1,1,5,2024-04-20
2,Praise Jah In The Moonlight,YG Marley,14,2,11,2024-04-20
3,Lady Killers II (Christoph Andersson Remix),G-Eazy,2,2,4,2024-04-20
4,I Like The Way You Kiss Me,Artemas,7,4,3,2024-04-20
5,Talk My Shit,BossMan Dlow,9,5,2,2024-04-20
6,Gata Only,FloyyMenor X Cris Mj,10,6,6,2024-04-20
7,Get It Sexyy,Sexyy Red,5,5,5,2024-04-20
8,Make You Mine,Madison Beer,20,8,5,2024-04-20
9,Hell N Back,Bakar Featuring Summer Walker,6,6,4,2024-04-20
10,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,4,1,8,2024-04-20
11,Tell Ur Girlfriend,Lay Bankz,NEW,11,1,2024-04-20
12,Too Sweet,Hozier,3,3,4,2024-04-20
13,Total Eclipse Of The Heart,Bonnie Tyler,NEW,13,1,2024-04-20
14,Austin,Dasha,15,4,6,2024-04-20
15,Karma,JoJo Siwa,11,11,4,2024-04-20
16,End Of Beginning,Djo,8,1,9,2024-04-20
17,Texas Hold 'Em,Beyonce,21,3,8,2024-04-20
18,This Woman's Work (Remastered 2021),Maxwell,32,18,2,2024-04-20
19,Like That!,Laila!,NEW,19,1,2024-04-20
20,Dance You Outta My Head,Cat Janice,19,1,11,2024-04-20
21,Anything,Adrianne Lenker,31,8,5,2024-04-20
22,Obama Runtz,BossMan Dlow Featuring Wizz Havinn,NEW,22,1,2024-04-20
23,Hide Away,Daya,43,23,2,2024-04-20
24,Harness Your Hopes (B-Side),Pavement,13,13,3,2024-04-20
25,Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",18,4,10,2024-04-20
26,What You Won't Do For Love,Bobby Caldwell,17,1,9,2024-04-20
27,Shoot It Out,Jdot Breezy,NEW,27,1,2024-04-20
28,Beautiful Things,Benson Boone,16,2,11,2024-04-20
29,Come And Get Your Love,Redbone,NEW,29,1,2024-04-20
30,A Quick One Before the Eternal Worm Devours Connecticut,Have A Nice Life,NEW,30,1,2024-04-20
31,Fantasmas,HUMBE,39,31,2,2024-04-20
32,Evil Empire,Lil Mabu & DD Osama,NEW,32,1,2024-04-20
33,Back On 74,Jungle,23,15,5,2024-04-20
34,Nothin' To It,On The Hunt & Chandler,22,22,3,2024-04-20
35,Never Lose Me,Flo Milli,28,1,19,2024-04-20
36,SC-9,Yahir Saldivar,34,31,4,2024-04-20
37,Mr. Weatherall,Young Hub City Featuring Big Zoe,27,27,5,2024-04-20
38,Beat It Up,Chef Boy,NEW,38,1,2024-04-20
39,Baddie Friend (Two Bad Bitches),Kevo Jefe Featuring House Of Evo,26,16,5,2024-04-20
40,My Love Mine All Mine,Mitski,36,1,30,2024-04-20
41,Enough (Miami),Cardi B,25,15,5,2024-04-20
42,Jump,Tyla x Gunna x Skillibeng,NEW,42,1,2024-04-20
43,Tumblr Girls,G-Eazy Featuring Christoph Andersson,37,14,26,2024-04-20
44,Mrs Magic,Strawberry Guy,45,26,4,2024-04-20
45,Si No Quieres No,Luis R Conriquez x Neton Vega,NEW,45,1,2024-04-20
46,Tshwala Bam,TitoM & Yuppe Featuring S.N.E & EeQue,44,17,4,2024-04-20
47,Took Her To The O,King Von,NEW,47,1,2024-04-20
48,Pretty (Sped Up),MEYY,NEW,48,1,2024-04-20
49,Act II: Date @ 8,4batz Featuring Drake,47,25,13,2024-04-20
50,Leaving The Lot,King Hendrick$,46,46,3,2024-04-20
1,Tell Ur Girlfriend,Lay Bankz,11,1,2,2024-04-27
2,I Like The Way You Kiss Me,Artemas,4,2,4,2024-04-27
3,Lady Killers II (Christoph Andersson Remix),G-Eazy,3,2,5,2024-04-27
4,Hell N Back,Bakar Featuring Summer Walker,9,4,5,2024-04-27
5,Gata Only,FloyyMenor X Cris Mj,6,5,7,2024-04-27
6,Get It Sexyy,Sexyy Red,7,5,6,2024-04-27
7,Praise Jah In The Moonlight,YG Marley,2,2,12,2024-04-27
8,Come And Get Your Love,Redbone,29,8,2,2024-04-27
9,Talk My Shit,BossMan Dlow,5,5,3,2024-04-27
10,Someday I'll Get It,Alek Olsen,1,1,6,2024-04-27
11,Jump,Tyla x Gunna x Skillibeng,42,11,2,2024-04-27
12,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,10,1,9,2024-04-27
13,End Of Beginning,Djo,16,1,10,2024-04-27
14,Verdi: Messa da Requiem: II. Dies Irae,Daniel Barenboim & Chicago Symphony Orchestra,NEW,14,1,2024-04-27
15,Like That!,Laila!,19,15,2,2024-04-27
16,Wind Up Missin' You,Tucker Wetmore,NEW,16,1,2024-04-27
17,Kiss Of Life,Sade,NEW,17,1,2024-04-27
18,Dance You Outta My Head,Cat Janice,20,1,12,2024-04-27
19,Make You Mine,Madison Beer,8,8,6,2024-04-27
20,Karma,JoJo Siwa,15,11,5,2024-04-27
21,Hide Away,Daya,23,21,3,2024-04-27
22,Never Lose Me,Flo Milli,35,1,20,2024-04-27
23,Beautiful Things,Benson Boone,28,2,12,2024-04-27
24,Pedro,"Jaxomy, Agatino Romero & Raffaella Carra",NEW,24,1,2024-04-27
25,I Can Do It With A Broken Heart,Taylor Swift,NEW,25,1,2024-04-27
26,Evil Empire,Lil Mabu & DD Osama,32,26,2,2024-04-27
27,Harness Your Hopes (B-Side),Pavement,24,13,4,2024-04-27
28,Slay!,Eternxlkz,NEW,28,1,2024-04-27
29,Party Girl,StaySolidRocky,NEW,29,1,2024-04-27
30,Austin,Dasha,14,4,7,2024-04-27
31,Too Sweet,Hozier,12,3,5,2024-04-27
32,Tumblr Girls,G-Eazy Featuring Christoph Andersson,43,14,27,2024-04-27
33,Us Vs. Them,$uicideboy$,NEW,33,1,2024-04-27
34,Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",25,4,11,2024-04-27
35,What You Won't Do For Love,Bobby Caldwell,26,1,10,2024-04-27
36,Mr. Weatherall,Young Hub City Featuring Big Zoe,37,27,6,2024-04-27
37,Shoot It Out,Jdot Breezy,27,27,2,2024-04-27
38,Anything,Adrianne Lenker,21,8,6,2024-04-27
39,Yasashi,CXSPER,RE-ENTRY,33,5,2024-04-27
40,This Woman's Work (Remastered 2021),Maxwell,18,18,3,2024-04-27
41,Texas Hold 'Em,Beyonce,17,3,9,2024-04-27
42,Fantasmas,HUMBE,31,31,3,2024-04-27
43,Glimpse Of Us,Joji,NEW,43,1,2024-04-27
