Rank,Song,Artist,Last_Week,Peak_Position,Weeks_on_Chart,Date
88,02.02.99,That Mexican OT,NEW,88,1,2024-01-27
89,Oklahoma Smokeshow,Zach Bryan,72,72,13,2024-01-27
90,Y Lloro,Junior H,79,79,4,2024-01-27
91,Perro Negro,Bad Bunny & Feid,75,20,11,2024-01-27
92,Segun Quien,Maluma & Carin Leon,68,65,16,2024-01-27
93,Made For Me,Muni Long,NEW,93,1,2024-01-27
94,Rich Men North Of Richmond,Oliver Anthony Music,81,1,20,2024-01-27
95,Northern Attitude,Noah Kahan With Hozier,80,37,7,2024-01-27
96,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,88,55,3,2024-01-27
97,My Eyes,Travis Scott,82,19,7,2024-01-27
98,Virginia Beach,Drake,78,3,13,2024-01-27
99,Coal,Dylan Gossett,89,89,2,2024-01-27
100,Great Gatsby,Rod Wave,83,30,17,2024-01-27
1,Lovin On Me,Jack Harlow,2,1,11,2024-02-03
2,Cruel Summer,Taylor Swift,3,1,38,2024-02-03
3,Greedy,Tate McRae,4,3,19,2024-02-03
4,Lose Control,Teddy Swims,8,4,24,2024-02-03
5,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,6,1,22,2024-02-03
6,"Yes, And?",Ariana Grande,1,1,2,2024-02-03
7,Agora Hills,Doja Cat,11,7,18,2024-02-03
8,Paint The Town Red,Doja Cat,7,1,25,2024-02-03
9,Snooze,SZA,9,2,58,2024-02-03
10,Redrum,21 Savage,5,5,2,2024-02-03
11,Water,Tyla,12,7,17,2024-02-03
12,Last Night,Morgan Wallen,13,1,52,2024-02-03
13,Stick Season,Noah Kahan,16,13,17,2024-02-03
14,Thinkin' Bout Me,Morgan Wallen,14,7,47,2024-02-03
15,Beautiful Things,Benson Boone,NEW,15,1,2024-02-03
16,Fast Car,Luke Combs,15,2,44,2024-02-03
17,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,17,1,13,2024-02-03
18,White Horse,Chris Stapleton,21,12,27,2024-02-03
19,Never Lose Me,Flo Milli,37,19,6,2024-02-03
20,La Diabla,Xavi,24,20,6,2024-02-03
21,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,22,11,16,2024-02-03
22,Igual Que Un Angel,Kali Uchis & Peso Pluma,23,22,2,2024-02-03
23,What Was I Made For?,Billie Eilish,20,14,27,2024-02-03
24,Everybody,Nicki Minaj Featuring Lil Uzi Vert,28,24,7,2024-02-03
25,Houdini,Dua Lipa,29,11,11,2024-02-03
26,Pretty Little Poison,Warren Zeiders,36,26,20,2024-02-03
27,Flowers,Miley Cyrus,27,1,49,2024-02-03
28,Lil Boo Thang,Paul Russell,26,14,19,2024-02-03
29,FTCU,Nicki Minaj,25,15,7,2024-02-03
30,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",10,10,2,2024-02-03
31,Where The Wild Things Are,Luke Combs,52,31,10,2024-02-03
32,Fukumean,Gunna,32,4,30,2024-02-03
33,Need A Favor,Jelly Roll,34,13,41,2024-02-03
34,First Person Shooter,Drake Featuring J. Cole,38,1,16,2024-02-03
35,Wild Ones,Jessie Murph & Jelly Roll,44,35,16,2024-02-03
36,Dance The Night,Dua Lipa,39,6,30,2024-02-03
37,Feather,Sabrina Carpenter,53,37,8,2024-02-03
38,Vampire,Olivia Rodrigo,42,1,27,2024-02-03
39,World On Fire,Nate Smith,30,21,13,2024-02-03
40,My Love Mine All Mine,Mitski,46,26,18,2024-02-03
41,Surround Sound,JID Featuring 21 Savage & Baby Tate,50,40,11,2024-02-03
42,Good Good,"Usher, Summer Walker & 21 Savage",48,25,24,2024-02-03
43,Save Me,Jelly Roll With Lainey Wilson,41,19,29,2024-02-03
44,Made For Me,Muni Long,93,44,2,2024-02-03
45,Strangers,Kenya Grace,54,42,19,2024-02-03
46,La Victima,Xavi,55,46,6,2024-02-03
47,Exes,Tate McRae,47,34,10,2024-02-03
48,Truck Bed,HARDY,49,36,32,2024-02-03
49,On My Mama,Victoria Monet,51,35,19,2024-02-03
50,The Painter,Cody Johnson,56,43,16,2024-02-03
51,Murder On The Dancefloor,Sophie Ellis-Bextor,58,51,4,2024-02-03
52,N.H.I.E.,21 Savage & Doja Cat,19,19,2,2024-02-03
53,Bellakeo,Peso Pluma & Anitta,62,53,6,2024-02-03
54,Get Him Back!,Olivia Rodrigo,61,11,20,2024-02-03
55,All Of Me,21 Savage,18,18,2,2024-02-03
56,Harley Quinn,Fuerza Regida & Marshmello,65,40,12,2024-02-03
57,Prove It,21 Savage & Summer Walker,43,43,2,2024-02-03
58,No Caller ID,Megan Moroney,NEW,58,1,2024-02-03
59,Burn It Down,Parker McCollum,60,52,14,2024-02-03
60,You Broke My Heart,Drake,63,11,10,2024-02-03
61,Soak City,310babii,75,61,6,2024-02-03
62,Act II: Date @ 8,4batz Featuring Drake,76,62,3,2024-02-03
63,Should've Wore A Bonnet,21 Savage & Brent Faiyaz,40,40,2,2024-02-03
64,IDGAF,Drake Featuring Yeat,68,2,16,2024-02-03
65,500lbs,Lil Tecca,71,51,18,2024-02-03
66,Monaco,Bad Bunny,64,5,15,2024-02-03
67,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",73,61,5,2024-02-03
68,Man Made A Bar,Morgan Wallen Featuring Eric Church,74,15,18,2024-02-03
69,Different 'Round Here,Riley Green Featuring Luke Combs,72,60,8,2024-02-03
70,Skin And Bones,David Kushner,NEW,70,1,2024-02-03
71,Sneaky,21 Savage,33,33,2,2024-02-03
72,I Can Feel It,Kane Brown,77,59,4,2024-02-03
73,23,Chayce Beckham,79,64,4,2024-02-03
74,02.02.99,That Mexican OT,88,74,2,2024-02-03
75,Mmhmm,BigXthaPlug,80,65,5,2024-02-03
76,Dangerous,"21 Savage, Lil Durk & Metro Boomin",35,35,2,2024-02-03
77,FE!N,Travis Scott Featuring Playboi Carti,86,5,13,2024-02-03
78,El Amor de Su Vida,Grupo Frontera & Grupo Firme,82,67,20,2024-02-03
79,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,83,61,17,2024-02-03
80,Pop Ur Sht,"21 Savage, Young Thug & Metro Boomin",31,31,2,2024-02-03
81,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,81,67,6,2024-02-03
82,Y Lloro,Junior H,90,79,5,2024-02-03
83,Perro Negro,Bad Bunny & Feid,91,20,12,2024-02-03
84,Wondering Why,The Red Clay Strays,84,71,5,2024-02-03
85,Standing Next To You,Jung Kook,87,5,12,2024-02-03
86,Coal,Dylan Gossett,99,86,3,2024-02-03
87,Northern Attitude,Noah Kahan With Hozier,95,37,8,2024-02-03
88,Segun Quien,Maluma & Carin Leon,92,65,17,2024-02-03
89,Oklahoma Smokeshow,Zach Bryan,89,72,14,2024-02-03
90,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,96,55,4,2024-02-03
91,Can't Catch Me Now,Olivia Rodrigo,85,56,12,2024-02-03
92,My Eyes,Travis Scott,97,19,8,2024-02-03
93,Virginia Beach,Drake,98,3,14,2024-02-03
94,First Love,Oscar Ortiz X Edgardo Nunez,NEW,94,1,2024-02-03
95,Worth It,Offset & Don Toliver,RE- ENTRY,92,2,2024-02-03
96,Sensational,Chris Brown Featuring Davido & Lojay,NEW,96,1,2024-02-03
97,When It Comes To You,Fridayy,RE- ENTRY,97,2,2024-02-03
98,IDGAF,"Tee Grizzley, Mariah The Scientist & Chris Brown",RE- ENTRY,98,2,2024-02-03
99,Save Me The Trouble,Dan + Shay,78,38,13,2024-02-03
100,Red Sky,"21 Savage, Tommy Newport & Mikky Ekko",57,57,2,2024-02-03
1,Hiss,Megan Thee Stallion,NEW,1,1,2024-02-10
2,Lovin On Me,Jack Harlow,1,1,12,2024-02-10
3,Cruel Summer,Taylor Swift,2,1,39,2024-02-10
4,Lose Control,Teddy Swims,4,4,25,2024-02-10
5,Greedy,Tate McRae,3,3,20,2024-02-10
6,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,5,1,23,2024-02-10
7,Agora Hills,Doja Cat,7,7,19,2024-02-10
8,Beautiful Things,Benson Boone,15,8,2,2024-02-10
9,Redrum,21 Savage,10,5,3,2024-02-10
10,Snooze,SZA,9,2,59,2024-02-10
11,Water,Tyla,11,7,18,2024-02-10
12,Stick Season,Noah Kahan,13,12,18,2024-02-10
13,Paint The Town Red,Doja Cat,8,1,26,2024-02-10
14,Last Night,Morgan Wallen,12,1,53,2024-02-10
15,Thinkin' Bout Me,Morgan Wallen,14,7,48,2024-02-10
16,Facts,Tom MacDonald X Ben Shapiro,NEW,16,1,2024-02-10
17,"Yes, And?",Ariana Grande,6,1,3,2024-02-10
18,Never Lose Me,Flo Milli,19,18,7,2024-02-10
19,Selfish,Justin Timberlake,NEW,19,1,2024-02-10
20,Fast Car,Luke Combs,16,2,45,2024-02-10
21,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,17,1,14,2024-02-10
22,La Diabla,Xavi,20,20,7,2024-02-10
23,Big Foot,Nicki Minaj,NEW,23,1,2024-02-10
24,Spin You Around (1/24),Morgan Wallen,NEW,24,1,2024-02-10
25,White Horse,Chris Stapleton,18,12,28,2024-02-10
26,Everybody,Nicki Minaj Featuring Lil Uzi Vert,24,24,8,2024-02-10
27,Pretty Little Poison,Warren Zeiders,26,26,21,2024-02-10
28,Made For Me,Muni Long,44,28,3,2024-02-10
29,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,21,11,17,2024-02-10
30,Houdini,Dua Lipa,25,11,12,2024-02-10
31,What Was I Made For?,Billie Eilish,23,14,28,2024-02-10
32,Flowers,Miley Cyrus,27,1,50,2024-02-10
33,Where The Wild Things Are,Luke Combs,31,31,11,2024-02-10
34,Igual Que Un Angel,Kali Uchis & Peso Pluma,22,22,3,2024-02-10
35,Wild Ones,Jessie Murph & Jelly Roll,35,35,17,2024-02-10
36,Feather,Sabrina Carpenter,37,36,9,2024-02-10
37,Think U The Shit (Fart),Ice Spice,NEW,37,1,2024-02-10
38,Lil Boo Thang,Paul Russell,28,14,20,2024-02-10
39,Fukumean,Gunna,32,4,31,2024-02-10
40,FTCU,Nicki Minaj,29,15,8,2024-02-10
41,Need A Favor,Jelly Roll,33,13,42,2024-02-10
42,Good Good,"Usher, Summer Walker & 21 Savage",42,25,25,2024-02-10
43,Dance The Night,Dua Lipa,36,6,31,2024-02-10
44,The Painter,Cody Johnson,50,43,17,2024-02-10
45,First Person Shooter,Drake Featuring J. Cole,34,1,17,2024-02-10
46,Vampire,Olivia Rodrigo,38,1,28,2024-02-10
47,Surround Sound,JID Featuring 21 Savage & Baby Tate,41,40,12,2024-02-10
48,World On Fire,Nate Smith,39,21,14,2024-02-10
49,Save Me,Jelly Roll With Lainey Wilson,43,19,30,2024-02-10
50,On My Mama,Victoria Monet,49,35,20,2024-02-10
51,Truck Bed,HARDY,48,36,33,2024-02-10
52,My Love Mine All Mine,Mitski,40,26,19,2024-02-10
53,La Victima,Xavi,46,46,7,2024-02-10
54,Exes,Tate McRae,47,34,11,2024-02-10
55,Strangers,Kenya Grace,45,42,20,2024-02-10
56,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",30,10,3,2024-02-10
57,Murder On The Dancefloor,Sophie Ellis-Bextor,51,51,5,2024-02-10
58,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",67,58,6,2024-02-10
59,Act II: Date @ 8,4batz Featuring Drake,62,59,4,2024-02-10
60,Burn It Down,Parker McCollum,59,52,15,2024-02-10
61,You Broke My Heart,Drake,60,11,11,2024-02-10
62,Harley Quinn,Fuerza Regida & Marshmello,56,40,13,2024-02-10
63,Bellakeo,Peso Pluma & Anitta,53,53,7,2024-02-10
64,Man Made A Bar,Morgan Wallen Featuring Eric Church,68,15,19,2024-02-10
65,IDGAF,Drake Featuring Yeat,64,2,17,2024-02-10
66,Different 'Round Here,Riley Green Featuring Luke Combs,69,60,9,2024-02-10
67,Monaco,Bad Bunny,66,5,16,2024-02-10
68,500lbs,Lil Tecca,65,51,19,2024-02-10
69,Soak City,310babii,61,61,7,2024-02-10
70,Prove It,21 Savage & Summer Walker,57,43,3,2024-02-10
71,N.H.I.E.,21 Savage & Doja Cat,52,19,3,2024-02-10
72,All Of Me,21 Savage,55,18,3,2024-02-10
73,I Can Feel It,Kane Brown,72,59,5,2024-02-10
74,Praise Jah In The Moonlight,YG Marley,NEW,74,1,2024-02-10
75,23,Chayce Beckham,73,64,5,2024-02-10
76,Should've Wore A Bonnet,21 Savage & Brent Faiyaz,63,40,3,2024-02-10
77,Home,Good Neighbours,NEW,77,1,2024-02-10
78,Mmhmm,BigXthaPlug,75,65,6,2024-02-10
79,One Call,Rich Amiri,NEW,79,1,2024-02-10
80,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,81,67,7,2024-02-10
81,FE!N,Travis Scott Featuring Playboi Carti,77,5,14,2024-02-10
82,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,79,61,18,2024-02-10
83,Perro Negro,Bad Bunny & Feid,83,20,13,2024-02-10
84,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,90,55,5,2024-02-10
85,Y Lloro,Junior H,82,79,6,2024-02-10
86,Oklahoma Smokeshow,Zach Bryan,89,72,15,2024-02-10
87,Coal,Dylan Gossett,86,86,4,2024-02-10
88,No Caller ID,Megan Moroney,58,58,2,2024-02-10
89,Creek Will Rise,Conner Smith,NEW,89,1,2024-02-10
90,Wondering Why,The Red Clay Strays,84,71,6,2024-02-10
91,First Love,Oscar Ortiz X Edgardo Nunez,94,91,2,2024-02-10
92,La Intencion,Christian Nodal & Peso Pluma,NEW,92,1,2024-02-10
93,02.02.99,That Mexican OT,74,74,3,2024-02-10
94,Standing Next To You,Jung Kook,85,5,13,2024-02-10
95,Sneaky,21 Savage,71,33,3,2024-02-10
96,Wildflowers And Wild Horses,Lainey Wilson,RE- ENTRY,96,2,2024-02-10
97,Northern Attitude,Noah Kahan With Hozier,87,37,9,2024-02-10
98,All I Need Is You,Chris Janson,NEW,98,1,2024-02-10
99,My Eyes,Travis Scott,92,19,9,2024-02-10
100,Worth It,Offset & Don Toliver,95,92,3,2024-02-10
1,Lovin On Me,Jack Harlow,2,1,13,2024-02-17
2,Lose Control,Teddy Swims,4,2,26,2024-02-17
3,Beautiful Things,Benson Boone,8,3,3,2024-02-17
4,Cruel Summer,Taylor Swift,3,1,40,2024-02-17
5,Snooze,SZA,10,2,60,2024-02-17
6,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,6,1,24,2024-02-17
7,Greedy,Tate McRae,5,3,21,2024-02-17
8,Fast Car,Luke Combs,20,2,46,2024-02-17
9,Agora Hills,Doja Cat,7,7,20,2024-02-17
10,Flowers,Miley Cyrus,32,1,51,2024-02-17
11,Stick Season,Noah Kahan,12,11,19,2024-02-17
12,Water,Tyla,11,7,19,2024-02-17
13,Hiss,Megan Thee Stallion,1,1,2,2024-02-17
14,Redrum,21 Savage,9,5,4,2024-02-17
15,Last Night,Morgan Wallen,14,1,54,2024-02-17
16,Thinkin' Bout Me,Morgan Wallen,15,7,49,2024-02-17
17,Paint The Town Red,Doja Cat,13,1,27,2024-02-17
18,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,21,1,15,2024-02-17
19,Never Lose Me,Flo Milli,18,18,8,2024-02-17
20,What Was I Made For?,Billie Eilish,31,14,29,2024-02-17
21,"Yes, And?",Ariana Grande,17,1,4,2024-02-17
22,Houdini,Dua Lipa,30,11,13,2024-02-17
23,Selfish,Justin Timberlake,19,19,2,2024-02-17
24,Pretty Little Poison,Warren Zeiders,27,24,22,2024-02-17
25,La Diabla,Xavi,22,20,8,2024-02-17
26,Where The Wild Things Are,Luke Combs,33,26,12,2024-02-17
27,Everybody,Nicki Minaj Featuring Lil Uzi Vert,26,24,9,2024-02-17
28,Made For Me,Muni Long,28,28,4,2024-02-17
29,Vampire,Olivia Rodrigo,46,1,29,2024-02-17
30,The Painter,Cody Johnson,44,30,18,2024-02-17
31,White Horse,Chris Stapleton,25,12,29,2024-02-17
32,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,29,11,18,2024-02-17
33,On My Mama,Victoria Monet,50,33,21,2024-02-17
34,Exes,Tate McRae,54,34,12,2024-02-17
35,Wild Ones,Jessie Murph & Jelly Roll,35,35,18,2024-02-17
36,Feather,Sabrina Carpenter,36,36,10,2024-02-17
37,Dance The Night,Dua Lipa,43,6,32,2024-02-17
38,Bandit,Don Toliver,NEW,38,1,2024-02-17
39,Need A Favor,Jelly Roll,41,13,43,2024-02-17
40,Save Me,Jelly Roll With Lainey Wilson,49,19,31,2024-02-17
41,Fukumean,Gunna,39,4,32,2024-02-17
42,Fast Car,Tracy Chapman,RE- ENTRY,6,22,2024-02-17
43,Lil Boo Thang,Paul Russell,38,14,21,2024-02-17
44,World On Fire,Nate Smith,48,21,15,2024-02-17
45,Good Good,"Usher, Summer Walker & 21 Savage",42,25,26,2024-02-17
46,Truck Bed,HARDY,51,36,34,2024-02-17
47,First Person Shooter,Drake Featuring J. Cole,45,1,18,2024-02-17
48,Surround Sound,JID Featuring 21 Savage & Baby Tate,47,40,13,2024-02-17
49,Strangers,Kenya Grace,55,42,21,2024-02-17
50,My Love Mine All Mine,Mitski,52,26,20,2024-02-17
51,Spin You Around (1/24),Morgan Wallen,24,24,2,2024-02-17
52,Think U The Shit (Fart),Ice Spice,37,37,2,2024-02-17
53,Igual Que Un Angel,Kali Uchis & Peso Pluma,34,22,4,2024-02-17
54,FTCU,Nicki Minaj,40,15,9,2024-02-17
55,Burn It Down,Parker McCollum,60,52,16,2024-02-17
56,La Victima,Xavi,53,46,8,2024-02-17
57,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",58,57,7,2024-02-17
58,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",56,10,4,2024-02-17
59,Murder On The Dancefloor,Sophie Ellis-Bextor,57,51,6,2024-02-17
60,Praise Jah In The Moonlight,YG Marley,74,60,2,2024-02-17
61,Act II: Date @ 8,4batz Featuring Drake,59,59,5,2024-02-17
62,Turn The Lights Back On,Billy Joel,NEW,62,1,2024-02-17
63,Man Made A Bar,Morgan Wallen Featuring Eric Church,64,15,20,2024-02-17
64,One Call,Rich Amiri,79,64,2,2024-02-17
65,You Broke My Heart,Drake,61,11,12,2024-02-17
66,Different 'Round Here,Riley Green Featuring Luke Combs,66,60,10,2024-02-17
67,Harley Quinn,Fuerza Regida & Marshmello,62,40,14,2024-02-17
68,Get In With Me,BossMan Dlow,NEW,68,1,2024-02-17
69,FE!N,Travis Scott Featuring Playboi Carti,81,5,15,2024-02-17
70,Bellakeo,Peso Pluma & Anitta,63,53,8,2024-02-17
71,500lbs,Lil Tecca,68,51,20,2024-02-17
72,IDGAF,Drake Featuring Yeat,65,2,18,2024-02-17
73,I Can Feel It,Kane Brown,73,59,6,2024-02-17
74,23,Chayce Beckham,75,64,6,2024-02-17
75,Prove It,21 Savage & Summer Walker,70,43,4,2024-02-17
76,Soak City,310babii,69,61,8,2024-02-17
77,Monaco,Bad Bunny,67,5,17,2024-02-17
78,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,84,55,6,2024-02-17
79,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,80,67,8,2024-02-17
80,Home,Good Neighbours,77,77,2,2024-02-17
81,Standing Next To You,Jung Kook,94,5,14,2024-02-17
82,Perro Negro,Bad Bunny & Feid,83,20,14,2024-02-17
83,Mmhmm,BigXthaPlug,78,65,7,2024-02-17
84,Oklahoma Smokeshow,Zach Bryan,86,72,16,2024-02-17
85,My Eyes,Travis Scott,99,19,10,2024-02-17
86,Coal,Dylan Gossett,87,86,5,2024-02-17
87,A Cold Sunday,Lil Yachty,NEW,87,1,2024-02-17
88,All Of Me,21 Savage,72,18,4,2024-02-17
89,N.H.I.E.,21 Savage & Doja Cat,71,19,4,2024-02-17
90,Should've Wore A Bonnet,21 Savage & Brent Faiyaz,76,40,4,2024-02-17
91,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,82,61,19,2024-02-17
92,Wondering Why,The Red Clay Strays,90,71,7,2024-02-17
93,Y Lloro,Junior H,85,79,7,2024-02-17
94,Sensational,Chris Brown Featuring Davido & Lojay,RE- ENTRY,94,2,2024-02-17
95,Wildflowers And Wild Horses,Lainey Wilson,96,95,3,2024-02-17
96,Worth It,Offset & Don Toliver,100,92,4,2024-02-17
97,Northern Attitude,Noah Kahan With Hozier,97,37,10,2024-02-17
98,Scared To Start,Michael Marcagi,NEW,98,1,2024-02-17
99,First Love,Oscar Ortiz X Edgardo Nunez,91,91,3,2024-02-17
100,Where It Ends,Bailey Zimmerman,RE- ENTRY,32,7,2024-02-17
1,Lovin On Me,Jack Harlow,1,1,14,2024-02-24
2,Texas Hold 'Em,Beyonce,NEW,2,1,2024-02-24
3,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,NEW,3,1,2024-02-24
4,Beautiful Things,Benson Boone,3,3,4,2024-02-24
5,Lose Control,Teddy Swims,2,2,27,2024-02-24
6,Cruel Summer,Taylor Swift,4,1,41,2024-02-24
7,Snooze,SZA,5,2,61,2024-02-24
8,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,6,1,25,2024-02-24
9,Greedy,Tate McRae,7,3,22,2024-02-24
10,Stick Season,Noah Kahan,11,10,20,2024-02-24
11,Fast Car,Luke Combs,8,2,47,2024-02-24
12,Agora Hills,Doja Cat,9,7,21,2024-02-24
13,Water,Tyla,12,7,20,2024-02-24
14,Last Night,Morgan Wallen,15,1,55,2024-02-24
15,Redrum,21 Savage,14,5,5,2024-02-24
16,Thinkin' Bout Me,Morgan Wallen,16,7,50,2024-02-24
17,Flowers,Miley Cyrus,10,1,52,2024-02-24
18,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,18,1,16,2024-02-24
19,Paint The Town Red,Doja Cat,17,1,28,2024-02-24
20,Yeah!,Usher Featuring Lil Jon & Ludacris,RE- ENTRY,1,46,2024-02-24
21,Never Lose Me,Flo Milli,19,18,9,2024-02-24
22,La Diabla,Xavi,25,20,9,2024-02-24
23,Fuk Sumn,¥$: Ye & Ty Dolla $ign,NEW,23,1,2024-02-24
24,Pretty Little Poison,Warren Zeiders,24,24,23,2024-02-24
25,Houdini,Dua Lipa,22,11,14,2024-02-24
26,Back To Me,¥$: Ye & Ty Dolla $ign,NEW,26,1,2024-02-24
27,What Was I Made For?,Billie Eilish,20,14,30,2024-02-24
28,Forever,Noah Kahan,NEW,28,1,2024-02-24
29,Where The Wild Things Are,Luke Combs,26,26,13,2024-02-24
30,Talking,¥$: Ye & Ty Dolla $ign Featuring North West,NEW,30,1,2024-02-24
31,"Yes, And?",Ariana Grande,21,1,5,2024-02-24
32,Made For Me,Muni Long,28,28,5,2024-02-24
33,Burn,¥$: Ye & Ty Dolla $ign,NEW,33,1,2024-02-24
34,Vultures,¥$: Ye & Ty Dolla $ign Featuring Lil Durk & Bump J,NEW,34,1,2024-02-24
35,The Painter,Cody Johnson,30,30,19,2024-02-24
36,Good Good,"Usher, Summer Walker & 21 Savage",45,25,27,2024-02-24
37,Selfish,Justin Timberlake,23,19,3,2024-02-24
38,16 Carriages,Beyonce,NEW,38,1,2024-02-24
39,Stars,¥$: Ye & Ty Dolla $ign,NEW,39,1,2024-02-24
40,Everybody,Nicki Minaj Featuring Lil Uzi Vert,27,24,10,2024-02-24
41,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,32,11,19,2024-02-24
42,Feather,Sabrina Carpenter,36,36,11,2024-02-24
43,Vampire,Olivia Rodrigo,29,1,30,2024-02-24
44,On My Mama,Victoria Monet,33,33,22,2024-02-24
45,Wild Ones,Jessie Murph & Jelly Roll,35,35,19,2024-02-24
46,Dance The Night,Dua Lipa,37,6,33,2024-02-24
47,Save Me,Jelly Roll With Lainey Wilson,40,19,32,2024-02-24
48,Hiss,Megan Thee Stallion,13,1,3,2024-02-24
49,Exes,Tate McRae,34,34,13,2024-02-24
50,Need A Favor,Jelly Roll,39,13,44,2024-02-24
51,Truck Bed,HARDY,46,36,35,2024-02-24
52,Do It,¥$: Ye & Ty Dolla $ign,NEW,52,1,2024-02-24
53,Paid,¥$: Ye & Ty Dolla $ign,NEW,53,1,2024-02-24
54,Surround Sound,JID Featuring 21 Savage & Baby Tate,48,40,14,2024-02-24
55,Keys To My Life,¥$: Ye & Ty Dolla $ign,NEW,55,1,2024-02-24
56,World On Fire,Nate Smith,44,21,16,2024-02-24
57,First Person Shooter,Drake Featuring J. Cole,47,1,19,2024-02-24
58,La Victima,Xavi,56,46,9,2024-02-24
59,Get In With Me,BossMan Dlow,68,59,2,2024-02-24
60,Burn It Down,Parker McCollum,55,52,17,2024-02-24
61,Standing Next To You,Jung Kook,81,5,15,2024-02-24
62,Think U The Shit (Fart),Ice Spice,52,37,3,2024-02-24
63,Praise Jah In The Moonlight,YG Marley,60,60,3,2024-02-24
64,Paperwork,¥$: Ye & Ty Dolla $ign,NEW,64,1,2024-02-24
65,Beg Forgiveness,¥$: Ye & Ty Dolla $ign,NEW,65,1,2024-02-24
66,Man Made A Bar,Morgan Wallen Featuring Eric Church,63,15,21,2024-02-24
67,Hoodrat,¥$: Ye & Ty Dolla $ign,NEW,67,1,2024-02-24
68,One Call,Rich Amiri,64,64,3,2024-02-24
69,Igual Que Un Angel,Kali Uchis & Peso Pluma,53,22,5,2024-02-24
70,Spin You Around (1/24),Morgan Wallen,51,24,3,2024-02-24
71,FTCU,Nicki Minaj,54,15,10,2024-02-24
72,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",57,57,8,2024-02-24
73,Murder On The Dancefloor,Sophie Ellis-Bextor,59,51,7,2024-02-24
74,You Broke My Heart,Drake,65,11,13,2024-02-24
75,Northern Attitude,Noah Kahan With Hozier,97,37,11,2024-02-24
76,FE!N,Travis Scott Featuring Playboi Carti,69,5,16,2024-02-24
77,23,Chayce Beckham,74,64,7,2024-02-24
78,Bandit,Don Toliver,38,38,2,2024-02-24
79,Problematic,¥$: Ye & Ty Dolla $ign,NEW,79,1,2024-02-24
80,Nee-nah,"21 Savage, Travis Scott & Metro Boomin",58,10,5,2024-02-24
81,Act II: Date @ 8,4batz Featuring Drake,61,59,6,2024-02-24
82,I Can Feel It,Kane Brown,73,59,7,2024-02-24
83,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,78,55,7,2024-02-24
84,Soak City,310babii,76,61,9,2024-02-24
85,Harley Quinn,Fuerza Regida & Marshmello,67,40,15,2024-02-24
86,You're Gonna Go Far,Noah Kahan,NEW,86,1,2024-02-24
87,Bellakeo,Peso Pluma & Anitta,70,53,9,2024-02-24
88,IDGAF,Drake Featuring Yeat,72,2,19,2024-02-24
89,Yeah Glo!,GloRilla,NEW,89,1,2024-02-24
90,Different 'Round Here,Riley Green Featuring Luke Combs,66,60,11,2024-02-24
91,She Calls Me Back,Noah Kahan With Kacey Musgraves,RE- ENTRY,76,2,2024-02-24
92,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,79,67,9,2024-02-24
93,Good (Don't Die),¥$: Ye & Ty Dolla $ign,NEW,93,1,2024-02-24
94,King,¥$: Ye & Ty Dolla $ign,NEW,94,1,2024-02-24
95,Coal,Dylan Gossett,86,86,6,2024-02-24
96,Mmhmm,BigXthaPlug,83,65,8,2024-02-24
97,Monaco,Bad Bunny,77,5,18,2024-02-24
98,Prove It,21 Savage & Summer Walker,75,43,5,2024-02-24
99,Perro Negro,Bad Bunny & Feid,82,20,15,2024-02-24
100,Sunday Service,Latto Featuring Megan Thee Stallion & Flo Milli,NEW,100,1,2024-02-24
1,Texas Hold 'Em,Beyonce,2,1,2,2024-03-02
