Rank,Song,Artist,Last_Week,Peak_Position,Weeks_on_Chart,Date
45,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,38,16,27,2024-01-06
46,Merry Christmas,Ed Sheeran & Elton John,RE- ENTRY,42,7,2024-01-06
47,Fast Car,Luke Combs,46,2,40,2024-01-06
48,Lose Control,Teddy Swims,41,39,20,2024-01-06
49,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,40,1,9,2024-01-06
50,(There's No Place Like) Home For The Holidays (1954),Perry Como With Mitchell Ayers And His Orchestra,NEW,50,1,2024-01-06
51,Lil Boo Thang,Paul Russell,47,23,15,2024-01-06
52,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,50,11,12,2024-01-06
53,FTCU,Nicki Minaj,42,42,3,2024-01-06
54,Stick Season,Noah Kahan,53,31,13,2024-01-06
55,Everybody,Nicki Minaj Featuring Lil Uzi Vert,39,26,3,2024-01-06
56,White Horse,Chris Stapleton,52,12,23,2024-01-06
57,First Person Shooter,Drake Featuring J. Cole,51,1,12,2024-01-06
58,Used To Be Young,Miley Cyrus,54,8,18,2024-01-06
59,Houdini,Dua Lipa,57,11,7,2024-01-06
60,Good Good,"Usher, Summer Walker & 21 Savage",56,25,20,2024-01-06
61,World On Fire,Nate Smith,55,47,9,2024-01-06
62,La Diabla,Xavi,76,62,2,2024-01-06
63,Pretty Little Poison,Warren Zeiders,59,46,16,2024-01-06
64,On My Mama,Victoria Monet,62,48,15,2024-01-06
65,My Love Mine All Mine,Mitski,58,26,14,2024-01-06
66,Exes,Tate McRae,60,34,6,2024-01-06
67,Surround Sound,JID Featuring 21 Savage & Baby Tate,61,61,7,2024-01-06
68,Monaco,Bad Bunny,64,5,11,2024-01-06
69,Strangers,Kenya Grace,66,52,15,2024-01-06
70,You Broke My Heart,Drake,70,11,6,2024-01-06
71,Get Him Back!,Olivia Rodrigo,68,11,16,2024-01-06
72,IDGAF,Drake Featuring Yeat,63,2,12,2024-01-06
73,Harley Quinn,Fuerza Regida & Marshmello,69,40,8,2024-01-06
74,Wild Ones,Jessie Murph & Jelly Roll,67,42,12,2024-01-06
75,Bellakeo,Peso Pluma & Anitta,71,71,2,2024-01-06
76,Truck Bed,HARDY,72,55,28,2024-01-06
77,Save Me The Trouble,Dan + Shay,73,73,9,2024-01-06
78,Jingle Bells,Meghan Trainor,81,78,2,2024-01-06
79,La Victima,Xavi,91,79,2,2024-01-06
80,Where The Wild Things Are,Luke Combs,78,78,6,2024-01-06
81,Qlona,Karol G & Peso Pluma,82,28,20,2024-01-06
82,You're Losing Me (From The Vault),Taylor Swift,77,27,5,2024-01-06
83,500lbs,Lil Tecca,75,51,14,2024-01-06
84,The Painter,Cody Johnson,80,55,12,2024-01-06
85,Never Lose Me,Flo Milli,84,84,2,2024-01-06
86,Burn It Down,Parker McCollum,86,77,10,2024-01-06
87,Winter Wonderland,Chloe,96,87,2,2024-01-06
88,Segun Quien,Maluma & Carin Leon,89,68,13,2024-01-06
89,Needle,Nicki Minaj Featuring Drake,65,34,3,2024-01-06
90,DJ Play A Christmas Song,Cher,94,90,2,2024-01-06
91,Mind On You,George Birge,88,88,2,2024-01-06
92,Lace It,"Juice WRLD, Eminem & benny blanco",85,85,2,2024-01-06
93,Hey Driver,Zach Bryan Featuring The War And Treaty,92,14,18,2024-01-06
94,Feather,Sabrina Carpenter,90,90,4,2024-01-06
95,Can't Catch Me Now,Olivia Rodrigo,87,56,8,2024-01-06
96,El Amor de Su Vida,Grupo Frontera & Grupo Firme,RE- ENTRY,68,16,2024-01-06
97,Standing Next To You,Jung Kook,79,5,8,2024-01-06
98,Man Made A Bar,Morgan Wallen Featuring Eric Church,RE- ENTRY,15,14,2024-01-06
99,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,98,61,13,2024-01-06
100,Great Gatsby,Rod Wave,99,30,14,2024-01-06
1,Lovin On Me,Jack Harlow,9,1,8,2024-01-13
2,Cruel Summer,Taylor Swift,19,1,35,2024-01-13
3,Greedy,Tate McRae,24,3,16,2024-01-13
4,Paint The Town Red,Doja Cat,29,1,22,2024-01-13
5,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,31,1,19,2024-01-13
6,Snooze,SZA,RE- ENTRY,2,55,2024-01-13
7,Water,Tyla,32,7,14,2024-01-13
8,Last Night,Morgan Wallen,36,1,49,2024-01-13
9,Fast Car,Luke Combs,47,2,41,2024-01-13
10,Agora Hills,Doja Cat,35,10,15,2024-01-13
11,Thinkin' Bout Me,Morgan Wallen,44,7,44,2024-01-13
12,Lose Control,Teddy Swims,48,12,21,2024-01-13
13,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,49,1,10,2024-01-13
14,Lil Boo Thang,Paul Russell,51,14,16,2024-01-13
15,Flowers,Miley Cyrus,RE- ENTRY,1,46,2024-01-13
16,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,52,11,13,2024-01-13
17,FTCU,Nicki Minaj,53,17,4,2024-01-13
18,White Horse,Chris Stapleton,56,12,24,2024-01-13
19,Stick Season,Noah Kahan,54,19,14,2024-01-13
20,What Was I Made For?,Billie Eilish,RE- ENTRY,14,24,2024-01-13
21,Vampire,Olivia Rodrigo,RE- ENTRY,1,24,2024-01-13
22,Need A Favor,Jelly Roll,RE- ENTRY,13,38,2024-01-13
23,Dance The Night,Dua Lipa,RE- ENTRY,6,27,2024-01-13
24,Fukumean,Gunna,RE- ENTRY,4,27,2024-01-13
25,World On Fire,Nate Smith,61,25,10,2024-01-13
26,Houdini,Dua Lipa,59,11,8,2024-01-13
27,Everybody,Nicki Minaj Featuring Lil Uzi Vert,55,26,4,2024-01-13
28,Save Me,Jelly Roll With Lainey Wilson,RE- ENTRY,19,26,2024-01-13
29,First Person Shooter,Drake Featuring J. Cole,57,1,13,2024-01-13
30,Used To Be Young,Miley Cyrus,58,8,19,2024-01-13
31,Kill Bill,SZA,RE- ENTRY,1,51,2024-01-13
32,Good Good,"Usher, Summer Walker & 21 Savage",60,25,21,2024-01-13
33,Pretty Little Poison,Warren Zeiders,63,33,17,2024-01-13
34,La Diabla,Xavi,62,34,3,2024-01-13
35,On My Mama,Victoria Monet,64,35,16,2024-01-13
36,Truck Bed,HARDY,76,36,29,2024-01-13
37,My Love Mine All Mine,Mitski,65,26,15,2024-01-13
38,Save Me The Trouble,Dan + Shay,77,38,10,2024-01-13
39,Exes,Tate McRae,66,34,7,2024-01-13
40,I Know ?,Travis Scott,RE- ENTRY,11,21,2024-01-13
41,Wild Ones,Jessie Murph & Jelly Roll,74,41,13,2024-01-13
42,Strangers,Kenya Grace,69,42,16,2024-01-13
43,Monaco,Bad Bunny,68,5,12,2024-01-13
44,Surround Sound,JID Featuring 21 Savage & Baby Tate,67,44,8,2024-01-13
45,The Painter,Cody Johnson,84,45,13,2024-01-13
46,Get Him Back!,Olivia Rodrigo,71,11,17,2024-01-13
47,Never Lose Me,Flo Milli,85,47,3,2024-01-13
48,Dial Drunk,Noah Kahan With Post Malone,RE- ENTRY,25,24,2024-01-13
49,Where The Wild Things Are,Luke Combs,80,49,7,2024-01-13
50,You Broke My Heart,Drake,70,11,7,2024-01-13
51,IDGAF,Drake Featuring Yeat,72,2,13,2024-01-13
52,Harley Quinn,Fuerza Regida & Marshmello,73,40,9,2024-01-13
53,Burn It Down,Parker McCollum,86,53,11,2024-01-13
54,Bellakeo,Peso Pluma & Anitta,75,54,3,2024-01-13
55,La Victima,Xavi,79,55,3,2024-01-13
56,Feather,Sabrina Carpenter,94,56,5,2024-01-13
57,500lbs,Lil Tecca,83,51,15,2024-01-13
58,Qlona,Karol G & Peso Pluma,81,28,21,2024-01-13
59,I Can Feel It,Kane Brown,NEW,59,1,2024-01-13
60,Hey Driver,Zach Bryan Featuring The War And Treaty,93,14,19,2024-01-13
61,You're Losing Me (From The Vault),Taylor Swift,82,27,6,2024-01-13
62,Mind On You,George Birge,91,62,3,2024-01-13
63,Can't Catch Me Now,Olivia Rodrigo,95,56,9,2024-01-13
64,Different 'Round Here,Riley Green Featuring Luke Combs,RE- ENTRY,64,5,2024-01-13
65,Segun Quien,Maluma & Carin Leon,88,65,14,2024-01-13
66,Man Made A Bar,Morgan Wallen Featuring Eric Church,98,15,15,2024-01-13
67,El Amor de Su Vida,Grupo Frontera & Grupo Firme,96,67,17,2024-01-13
68,Soak City,310babii,RE- ENTRY,68,3,2024-01-13
69,One Of The Girls,"The Weeknd, Jennie & Lily-Rose Depp",RE- ENTRY,69,2,2024-01-13
70,Standing Next To You,Jung Kook,97,5,9,2024-01-13
71,23,Chayce Beckham,NEW,71,1,2024-01-13
72,Perro Negro,Bad Bunny & Feid,RE- ENTRY,20,9,2024-01-13
73,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,RE- ENTRY,73,3,2024-01-13
74,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,99,61,14,2024-01-13
75,Oklahoma Smokeshow,Zach Bryan,RE- ENTRY,75,11,2024-01-13
76,Wondering Why,The Red Clay Strays,RE- ENTRY,76,2,2024-01-13
77,Mmhmm,BigXthaPlug,RE- ENTRY,77,2,2024-01-13
78,Great Gatsby,Rod Wave,100,30,15,2024-01-13
79,FE!N,Travis Scott Featuring Playboi Carti,RE- ENTRY,5,10,2024-01-13
80,Bad Idea Right?,Olivia Rodrigo,RE- ENTRY,7,18,2024-01-13
81,Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon",NEW,81,1,2024-01-13
82,Can't Have Mine,Dylan Scott,RE- ENTRY,57,12,2024-01-13
83,Needle,Nicki Minaj Featuring Drake,89,34,4,2024-01-13
84,Virginia Beach,Drake,RE- ENTRY,3,11,2024-01-13
85,Rich Men North Of Richmond,Oliver Anthony Music,RE- ENTRY,1,18,2024-01-13
86,Northern Attitude,Noah Kahan With Hozier,RE- ENTRY,37,5,2024-01-13
87,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,RE- ENTRY,2,7,2024-01-13
88,Lace It,"Juice WRLD, Eminem & benny blanco",92,85,3,2024-01-13
89,Mi Ex Tenia Razon,Karol G,RE- ENTRY,22,15,2024-01-13
90,Run For The Hills,Tate McRae,RE- ENTRY,69,3,2024-01-13
91,Slime You Out,Drake Featuring SZA,RE- ENTRY,1,13,2024-01-13
92,Better Place,*NSYNC,RE- ENTRY,25,5,2024-01-13
93,"Burn, Burn, Burn",Zach Bryan,RE- ENTRY,93,3,2024-01-13
